"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,17594004,17594004,0,3589176,0.204
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,16282515,16282515,0,3321632,0.204
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,15602975,15602975,0,3183006,0.204
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,15361399,15361399,0,3133725,0.204
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,16168966,16168966,0,3298468,0.204
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,18480600,18480600,0,3770042,0.204
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,22395612,22395612,0,4568704,0.204
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,25009709,25009709,0,5101980,0.204
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,26693874,26693874,0,5445550,0.204
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,29735146,29735146,0,6065968,0.204
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,32214916,32214916,0,6571842,0.204
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,33380546,33380546,0,6809630,0.204
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,33719656,33719656,0,6878809,0.204
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,33185781,33185781,0,6769898,0.204
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,32296186,32296186,0,6588421,0.204
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,31401504,31401504,0,6405906,0.204
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,30365231,30365231,0,6194506,0.204
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,30490715,30490715,0,6220104,0.204
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,29631809,29631809,0,6044888,0.204
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,LocalDistributionCompaniesCombination,Hour,UTC,Consuming,Current,28451934,28451934,0,5804194,0.204
